observation_date,Year,Interest Rates
01-01-2005,2005,5.71
01-02-2005,2005,5.63
01-03-2005,2005,5.93
01-04-2005,2005,5.86
01-05-2005,2005,5.72
01-06-2005,2005,5.58
01-07-2005,2005,5.7
01-08-2005,2005,5.82
01-09-2005,2005,5.77
01-10-2005,2005,6.07
01-11-2005,2005,6.33
01-12-2005,2005,6.27
01-01-2006,2006,6.15
01-02-2006,2006,6.25
01-03-2006,2006,6.32
01-04-2006,2006,6.51
01-05-2006,2006,6.6
01-06-2006,2006,6.68
01-07-2006,2006,6.76
01-08-2006,2006,6.52
01-09-2006,2006,6.4
01-10-2006,2006,6.36
01-11-2006,2006,6.24
01-12-2006,2006,6.14
01-01-2007,2007,6.22
01-02-2007,2007,6.29
01-03-2007,2007,6.16
01-04-2007,2007,6.18
01-05-2007,2007,6.26
01-06-2007,2007,6.66
01-07-2007,2007,6.7
01-08-2007,2007,6.57
01-09-2007,2007,6.38
01-10-2007,2007,6.38
01-11-2007,2007,6.21
01-12-2007,2007,6.1
01-01-2008,2008,5.76
01-02-2008,2008,5.92
01-03-2008,2008,5.97
01-04-2008,2008,5.92
01-05-2008,2008,6.04
01-06-2008,2008,6.32
01-07-2008,2008,6.43
01-08-2008,2008,6.48
01-09-2008,2008,6.04
01-10-2008,2008,6.2
01-11-2008,2008,6.09
01-12-2008,2008,5.29
01-01-2009,2009,5.05
01-02-2009,2009,5.13
01-03-2009,2009,5
01-04-2009,2009,4.81
01-05-2009,2009,4.86
01-06-2009,2009,5.42
01-07-2009,2009,5.22
01-08-2009,2009,5.19
01-09-2009,2009,5.06
01-10-2009,2009,4.95
01-11-2009,2009,4.88
01-12-2009,2009,4.93
01-01-2010,2010,5.03
01-02-2010,2010,4.99
01-03-2010,2010,4.97
01-04-2010,2010,5.1
01-05-2010,2010,4.89
01-06-2010,2010,4.74
01-07-2010,2010,4.56
01-08-2010,2010,4.43
01-09-2010,2010,4.35
01-10-2010,2010,4.23
01-11-2010,2010,4.3
01-12-2010,2010,4.71
01-01-2011,2011,4.76
01-02-2011,2011,4.95
01-03-2011,2011,4.84
01-04-2011,2011,4.84
01-05-2011,2011,4.64
01-06-2011,2011,4.51
01-07-2011,2011,4.55
01-08-2011,2011,4.27
01-09-2011,2011,4.11
01-10-2011,2011,4.07
01-11-2011,2011,3.99
01-12-2011,2011,3.96
01-01-2012,2012,3.92
01-02-2012,2012,3.89
01-03-2012,2012,3.95
01-04-2012,2012,3.91
01-05-2012,2012,3.8
01-06-2012,2012,3.68
01-07-2012,2012,3.55
01-08-2012,2012,3.6
01-09-2012,2012,3.5
01-10-2012,2012,3.38
01-11-2012,2012,3.35
01-12-2012,2012,3.35
01-01-2013,2013,3.41
01-02-2013,2013,3.53
01-03-2013,2013,3.57
01-04-2013,2013,3.45
01-05-2013,2013,3.54
01-06-2013,2013,4.07
01-07-2013,2013,4.37
01-08-2013,2013,4.46
01-09-2013,2013,4.49
01-10-2013,2013,4.19
01-11-2013,2013,4.26
01-12-2013,2013,4.46
01-01-2014,2014,4.43
01-02-2014,2014,4.3
01-03-2014,2014,4.34
01-04-2014,2014,4.34
01-05-2014,2014,4.19
01-06-2014,2014,4.16
01-07-2014,2014,4.13
01-08-2014,2014,4.12
01-09-2014,2014,4.16
01-10-2014,2014,4.04
01-11-2014,2014,4
01-12-2014,2014,3.86
01-01-2015,2015,3.67
01-02-2015,2015,3.71
01-03-2015,2015,3.77
01-04-2015,2015,3.67
01-05-2015,2015,3.84
01-06-2015,2015,3.98
01-07-2015,2015,4.05
01-08-2015,2015,3.91
01-09-2015,2015,3.89
01-10-2015,2015,3.8
01-11-2015,2015,3.94
01-12-2015,2015,3.96
01-01-2016,2016,3.87
01-02-2016,2016,3.66
01-03-2016,2016,3.69
01-04-2016,2016,3.61
01-05-2016,2016,3.6
01-06-2016,2016,3.57
01-07-2016,2016,3.44
01-08-2016,2016,3.44
01-09-2016,2016,3.46
01-10-2016,2016,3.47
01-11-2016,2016,3.77
01-12-2016,2016,4.2
01-01-2017,2017,4.15
01-02-2017,2017,4.17
01-03-2017,2017,4.2
01-04-2017,2017,4.05
01-05-2017,2017,4.01
01-06-2017,2017,3.9
01-07-2017,2017,3.97
01-08-2017,2017,3.88
01-09-2017,2017,3.81
01-10-2017,2017,3.9
01-11-2017,2017,3.92
01-12-2017,2017,3.95
01-01-2018,2018,4.03
01-02-2018,2018,4.33
01-03-2018,2018,4.44
01-04-2018,2018,4.47
01-05-2018,2018,4.59
01-06-2018,2018,4.57
01-07-2018,2018,4.53
01-08-2018,2018,4.55
01-09-2018,2018,4.63
01-10-2018,2018,4.83
01-11-2018,2018,4.87
01-12-2018,2018,4.64
01-01-2019,2019,4.46
01-02-2019,2019,4.37
01-03-2019,2019,4.27
01-04-2019,2019,4.14
01-05-2019,2019,4.07
01-06-2019,2019,3.8
01-07-2019,2019,3.77
01-08-2019,2019,3.62
01-09-2019,2019,3.61
01-10-2019,2019,3.69
01-11-2019,2019,3.7
01-12-2019,2019,3.72
01-01-2020,2020,3.62
01-02-2020,2020,3.47
01-03-2020,2020,3.45
01-04-2020,2020,3.31
01-05-2020,2020,3.23
01-06-2020,2020,3.16
01-07-2020,2020,3.02
01-08-2020,2020,2.94
01-09-2020,2020,2.89
01-10-2020,2020,2.83
01-11-2020,2020,2.77
01-12-2020,2020,2.68
01-01-2021,2021,2.74
01-02-2021,2021,2.81
01-03-2021,2021,3.08
01-04-2021,2021,3.06
01-05-2021,2021,2.96
01-06-2021,2021,2.98
01-07-2021,2021,2.87
01-08-2021,2021,2.84
01-09-2021,2021,2.9
01-10-2021,2021,3.07
01-11-2021,2021,3.07
01-12-2021,2021,3.1
01-01-2022,2022,3.45
01-02-2022,2022,3.76
01-03-2022,2022,4.17
01-04-2022,2022,4.98
01-05-2022,2022,5.23
01-06-2022,2022,5.52
01-07-2022,2022,5.41
01-08-2022,2022,5.22
01-09-2022,2022,6.11
01-10-2022,2022,6.9
01-11-2022,2022,6.81
01-12-2022,2022,6.36
01-01-2023,2023,6.27
01-02-2023,2023,6.26
01-03-2023,2023,6.54
01-04-2023,2023,6.34
01-05-2023,2023,6.43
01-06-2023,2023,6.71
01-07-2023,2023,6.84
01-08-2023,2023,7.07
01-09-2023,2023,7.2
01-10-2023,2023,7.62
01-11-2023,2023,7.44
01-12-2023,2023,6.82
01-01-2024,2024,6.64
01-02-2024,2024,6.78
01-03-2024,2024,6.82
01-04-2024,2024,6.99
01-05-2024,2024,7.06
01-06-2024,2024,6.92
01-07-2024,2024,6.85
01-08-2024,2024,6.5
01-09-2024,2024,6.18
01-10-2024,2024,6.43
01-11-2024,2024,6.81
01-12-2024,2024,6.72
01-01-2025,2025,6.96
